TransactionID,CustomerID,Date,ProductCategory,Amount,Region,Quantity,Margin,LTV,CAC,Churn
TX1000,CUST108,2026-01-07,Professional Services,2459.61,Europe,2,0.363,16341.0,124.07,1
TX1001,CUST138,2026-04-19,Electronics,443.78,North America,1,0.398,21002.14,52.65,0
TX1002,CUST135,2026-04-18,SaaS Subscriptions,501.41,Latin America,5,0.425,20697.72,125.88,1
TX1003,CUST128,2026-03-29,Professional Services,2582.76,Europe,2,0.731,19434.64,59.27,1
TX1004,CUST123,2026-06-04,Professional Services,4771.9,North America,4,0.541,18939.25,87.85,0
TX1005,CUST140,2026-04-03,SaaS Subscriptions,1130.165,North America,1,0.598,21409.23,148.52,0
TX1006,CUST107,2026-04-08,Professional Services,3789.51,Latin America,3,0.373,16292.11,117.02,0
TX1007,CUST105,2026-06-05,SaaS Subscriptions,205.6,Europe,2,0.508,15957.98,142.54,1
TX1008,CUST115,2026-06-25,Professional Services,2343.66,North America,2,0.67,17672.02,90.12,1
TX1009,CUST137,2026-03-22,SaaS Subscriptions,401.37,Latin America,4,0.698,20907.14,64.29,0
TX1010,CUST136,2026-05-18,Professional Services,4937.956249999999,Latin America,5,0.48,20587.73,149.75,1
TX1011,CUST106,2026-01-13,Electronics,879.04,Europe,2,0.656,16168.86,56.35,0
TX1012,CUST130,2026-05-16,Professional Services,1229.04,North America,1,0.607,19814.79,76.68,0
TX1013,CUST108,2026-03-17,Hardware Support,952.17,Europe,4,0.301,16588.84,121.97,0
TX1014,CUST112,2026-05-10,Electronics,2172.38,Asia-Pacific,5,0.574,16961.14,126.25,1
TX1015,CUST134,2026-01-01,Hardware Support,1132.53,Latin America,1,0.35,20345.19,148.53,0
TX1016,CUST116,2026-01-15,SaaS Subscriptions,88.97,North America,1,0.629,17826.41,147.8,1
TX1017,CUST109,2026-02-02,Hardware Support,757.86,Europe,3,0.537,16692.64,146.44,0
TX1018,CUST113,2026-03-21,Hardware Support,977.3,Asia-Pacific,4,0.705,17230.59,74.79,1
TX1019,CUST102,2026-05-31,SaaS Subscriptions,85.02,Europe,1,0.332,15652.44,72.89,0
